,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
45,46,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,8.32,9.86,32.8,,30.51,,0.33,0.83,0.88,3.82,4.6,13.49,0.45,10.56,0.45,38.73,65.66,0.13,0.78,,21400.0,0.07,29.63,0.9,1477.0,-,,6/29/2018
46,47,ACET,Aceto Corporation,Healthcare,Drugs - Generic,USA,,,,,,,,,,,-9.77,,,-17.0,10.0,,,-4.4,30840000.0,27870000.0,9.46,,35.91,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,-,9.0,-
47,48,ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,14610000000000.0,15.01,13.0,0.78,2.51,1.59,23.08,10.75,,0.0,2.47,22.8,7.02,0.5,19.12,9.1,226.1,33.5,394110000.0,391290000.0,1.1,-11.13,91.2,0.21,0.9,2.83,3.1,11.6,6.8,,,0.24,0.24,,19.8,17.4,1.76,8.2,14.73,39.71,41.15,38.77,0.65,0.62,2.05,1.54,4.34,7.73,20.96,0.22,15.44,0.22,49.58,67.21,1.92,0.53,2.5,1250000.0,2.47,37.08,2.46,3001277.0,Jul 30/a,37.33,9/14/1995
48,49,ACGLO,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,9980000000000.0,10.04,,,1.7,1.07,,,5.49,,2.47,,,,,,198.2,34.2,402940000.0,355380000.0,,,28.86,,,,,,,,,,,,,,-1.41,0.81,2.23,23.71,1.31,21.89,,0.16,0.67,0.65,-0.43,0.34,6.51,-1.71,1.89,-1.71,24.84,45.29,-1.63,0.12,,44830.0,2.43,24.78,-1.51,107169.0,-,,8/7/2017
49,50,ACGLP,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,9650000000000.0,9.7,,,1.64,1.03,,,5.47,,2.47,,,,,,198.2,34.2,402940000.0,355380000.0,0.11,,24.71,,,,,,,,,,,,,,-0.83,1.48,3.95,23.14,-0.13,20.53,,0.15,0.63,0.6,-0.02,1.02,6.12,-1.44,2.79,-1.44,24.29,50.9,-1.03,-0.21,,62350.0,3.03,23.95,-1.24,183273.0,-,,9/23/2016
50,51,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,8960000000000.0,70.97,,,0.34,0.61,3.22,9.82,,0.0,0.12,-58.1,,14.9,,0.9,-181.7,4.1,1020000000000.0,657130000.0,,,1.4,1.99,0.02,2.73,0.3,1.4,3.9,0.8,0.5,1.03,1.94,7.3,3.8,0.3,-2.11,-1.57,-5.27,13.26,-17.37,12.53,0.82,0.21,1.7,1.69,-1.12,-3.69,-7.2,-18.61,7.84,-27.45,18.28,46.14,-0.9,0.79,,50560.0,0.45,8.8,-0.11,22670.0,Jul 29,14.51,12/11/2001
51,52,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,3050000000000.0,,14.13,,1.0,1.27,69.68,8.23,,,-2.14,-197.8,12.77,-34.1,5.13,33.4,-27.2,2.5,87130000.0,86480000.0,1.1,0.0,,5.56,15.36,16.51,-3.0,-7.8,0.2,1.1,1.1,1.36,1.38,,0.3,-6.5,0.66,6.49,19.24,35.47,-15.8,35.94,0.65,0.88,2.17,2.59,3.25,6.28,9.05,-0.03,24.47,-22.93,44.0,62.62,1.81,0.0,2.2,804390.0,1.05,34.95,1.81,850803.0,Jul 30/a,37.57,3/4/1994
52,53,ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,371760000.0,,,,,1.5,1.46,,,,-0.5,18.3,-30.6,4.1,17.58,,8.4,,138720000.0,138470000.0,0.15,0.0,83.0,6.32,6.34,7.04,-24.2,-25.2,,19.7,19.7,0.0,0.0,,,,-3.94,-6.29,-9.46,90.07,-1.83,68.55,1.88,0.12,4.18,4.31,-5.33,-7.63,-4.15,-17.54,1.52,-32.66,107.75,41.5,1.13,-0.38,1.5,1250000.0,1.12,2.68,0.75,1401241.0,Aug 08/b,5.0,11/9/2006
53,54,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,15900000.0,,,,,1.27,1.66,,,,-3.96,83.6,16.6,56.7,,,63.9,,8240000.0,7470000.0,2.8,,19.7,-18.6,7.05,1.92,-89.0,-110.0,,2.6,2.6,0.0,0.0,,,,-16.81,-54.37,-40.25,60.83,-52.81,59.5,2.19,0.28,11.43,11.23,-33.77,-46.01,-23.11,-58.32,1.05,-66.14,84.71,20.66,-4.46,-0.49,1.5,274950.0,0.77,1.93,-4.93,212745.0,May 15/a,13.0,10/13/1995
54,55,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,1890000000000.0,99.92,22.59,,5.08,3.66,5.57,20.4,,0.0,0.47,-92.9,27.47,23.2,-12.0,34.3,173.0,44.3,40100000.0,37080000.0,7.6,-39.19,77.4,-3.69,2.36,1.11,3.4,4.1,-0.4,4.9,4.6,0.0,0.0,46.5,2.8,5.6,2.1,-2.22,-17.77,25.23,41.32,24.11,,1.55,3.63,3.25,1.23,-7.69,1.54,-23.81,6.26,-24.16,50.1,44.19,0.79,0.45,2.5,785610.0,3.48,47.16,1.25,2685087.0,Aug 01/a,61.67,5/13/2016
55,56,ACIM,SPDR MSCI ACWI IMI ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,4.11,2.38,15.65,4.41,14.84,,0.53,0.42,0.48,2.02,1.41,4.07,-1.9,6.73,-2.14,20.3,58.27,-0.19,0.41,,6390.0,1.25,79.95,0.21,8068.0,-,,3/5/2012
56,57,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,368190000.0,17.13,,,4.45,1.52,1.19,10.58,,0.0,0.32,-78.1,-226.8,-31.6,,-3.6,562.7,5046.9,66340000.0,32650000.0,51.67,0.0,27.5,-14.25,0.98,1.81,11.7,13.7,-27.8,5.1,5.1,0.01,0.2,,27.0,30.0,1.65,6.53,9.9,-41.27,-39.67,-41.27,,0.24,3.69,4.71,3.02,8.19,-21.46,-7.5,22.79,-68.1,70.77,56.8,2.4,-0.37,1.7,176750.0,0.29,5.55,2.02,51427.0,May 15,10.41,9/23/2016
57,58,ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,3670000000000.0,89.43,30.39,7.45,3.64,3.86,20.81,22.42,,0.0,0.38,38.4,44.87,-2.2,12.0,3.1,-33.1,-1.6,106800000.0,101860000.0,2.4,-6.1,,-1.24,5.3,7.94,3.0,6.3,5.2,2.0,2.0,0.63,0.65,56.5,11.4,6.2,4.12,7.01,4.47,24.96,41.61,24.11,1.22,0.67,1.91,2.09,6.02,4.39,14.23,-4.24,12.57,-4.24,42.96,62.92,3.06,0.45,1.3,680170.0,2.67,34.34,3.53,1773468.0,Aug 08/b,40.33,2/27/1995
58,59,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,494840000.0,12.97,13.96,0.65,1.2,1.18,3.03,27.64,,0.0,1.16,-60.5,173.6,33.3,20.0,17.7,-56.6,-25.1,32880000.000000004,32090000.000000004,3.3,-3.78,83.9,-2.31,2.4,3.32,7.2,9.5,11.5,5.8,3.7,0.12,0.12,41.3,11.8,9.2,4.08,-0.73,-25.2,-11.42,-24.56,-15.45,1.36,0.52,3.02,3.46,1.92,-12.44,-19.61,-32.18,7.58,-40.21,7.58,44.07,-0.66,0.87,2.2,232290.0,1.54,15.05,0.2,353715.0,Aug 06/a,23.2,7/11/2000
59,60,ACM,AECOM,Services,Technical Services,USA,5890000000000.0,22.81,11.79,3.03,0.29,1.41,6.86,14.6,,0.0,1.66,-74.4,13.74,-25.3,7.54,19.8,165.5,5.2,155560000.0,155380000.0,0.3,-6.68,89.6,0.23,4.06,6.23,1.9,6.7,5.1,1.2,1.2,0.89,0.93,3.6,2.9,1.3,3.42,20.43,27.57,43.81,14.25,42.83,1.74,0.7,1.48,1.97,9.31,12.65,21.08,0.72,22.23,0.72,52.44,81.79,0.96,0.19,2.4,1010000.0,1.45,37.85,1.15,1454318.0,Aug 07/b,37.67,5/10/2007
60,61,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,248510000.0,25.3,20.62,1.26,2.91,4.5,9.07,26.16,,0.0,0.62,1.8,34.46,,20.0,,156.4,111.3,15920000.0,6220000.0,0.3,,10.5,-4.89,3.23,1.61,11.4,22.1,9.2,2.0,1.2,0.0,0.23,44.7,12.5,13.1,-3.58,-17.63,1.17,49.24,41.27,43.47,,0.95,4.61,5.49,-10.69,-12.56,19.9,-28.66,2.36,-28.66,73.06,37.52,0.39,0.71,,124640.0,9.67,15.61,1.1,1054314.0,Aug 06/a,23.33,10/26/2017
61,62,ACN,Accenture plc,Technology,Information Technology Services,Ireland,122700000000000.0,26.64,23.12,2.93,2.88,8.58,25.71,29.07,1.58,38.1,6.94,21.5,8.9,6.0,9.09,6.5,15.6,3.8,664050000.0,664050000.0,0.2,-9.13,73.0,0.38,0.88,3.18,17.5,37.3,42.6,1.3,1.3,0.0,0.0,30.3,14.5,11.0,-0.43,3.33,4.97,31.59,18.95,31.03,1.04,2.52,1.55,1.29,1.02,2.68,11.68,-1.36,8.47,-1.36,39.31,55.51,0.29,0.67,2.2,1840000.0,1.57,184.77,0.97,2937898.0,Jun 27/b,190.67,7/19/2001
62,63,ACNB,ACNB Corporation,Financial,Regional - Southwest  Banks,USA,278850000.0,12.29,,,4.22,1.6,4.29,13.47,2.53,28.5,3.22,76.1,,14.7,,11.4,19.0,10.5,7050000.0,6760000.0,3.3,0.18,24.2,2.4,0.32,2.72,1.4,13.6,30.0,,,0.0,0.0,,85.8,34.3,5.83,8.03,6.95,4.13,14.03,0.82,0.09,1.17,4.25,3.47,9.14,5.91,5.03,0.18,16.68,-4.54,19.01,65.78,8.74,-0.33,,7950.0,9.02,39.57,8.38,64485.0,Jul 30,,1/2/1996
63,64,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,364110000.0,,,,0.89,0.64,1.06,,,,-0.43,108.7,13.9,0.2,29.0,7.0,-469.1,-58.5,47470000.0,47400000.0,1.5,-52.76,,7.73,23.2,12.22,-0.4,-1.0,3.9,4.3,4.0,0.61,0.61,78.8,-1.3,-1.4,2.4,-18.23,-42.29,-48.35,-72.75,-50.77,1.15,0.53,7.65,6.88,-1.81,-20.91,-48.07,-36.87,15.51,-75.34,15.51,43.41,2.54,1.08,2.9,899680.0,2.04,7.67,3.65,1798128.0,Aug 01/b,17.56,2/10/2006
64,65,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,161600000.0,,,,,,,,11.65,,,,,,,,,,13070000.0,,0.05,,33.03,,,,,,,,,,,,,,-1.67,0.57,1.98,18.28,-10.5,17.94,,0.18,1.32,1.44,0.34,-1.26,0.13,-6.43,5.64,-14.64,22.74,46.5,0.0,-0.08,,95110.0,0.69,12.36,-0.08,65118.0,-,,1/27/2011
65,66,ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,423510000.0,11.27,10.83,1.93,3.51,1.0,33.09,141.17,8.88,91.3,1.32,26.5,2.24,13.2,5.86,20.3,-8.9,9.1,28500000.0,24310000.0,1.1,4.34,68.8,4.48,4.04,5.92,2.2,8.9,2.4,,,2.76,2.76,40.5,31.8,31.3,-0.67,0.47,-2.17,14.13,7.22,13.96,0.63,0.21,1.51,1.32,-1.09,-1.26,2.31,-4.19,2.34,-4.31,16.55,44.72,1.16,0.14,2.4,165600.0,2.44,14.86,1.3,397561.0,Jul 31/b,15.5,4/27/2012
66,67,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,87910000.0,,,,6.28,0.5,0.64,,,,-3.97,-61.1,17.1,,,,7.0,354.5,40140000.0,39030000.0,3.9,-40.62,93.2,-3.21,7.59,4.37,-61.8,-78.0,-55.1,4.3,4.3,0.16,0.17,38.2,,,-51.76,-55.03,-63.44,-68.67,-88.55,-70.37,0.81,0.47,16.27,9.4,-52.1,-59.02,-72.73,-69.38,8.42,-90.03,8.42,18.85,4.29,-1.41,1.7,678130.0,7.49,2.19,2.82,4618642.0,Aug 07/a,18.33,10/7/2015
67,68,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,199340000.0,,,,94.92,,2.21,,,,-0.76,-117.4,22.4,-6.5,,-40.8,23.7,0.0,78790000.0,70230000.0,1.7,3.45,16.2,-17.61,19.49,8.52,-52.3,217.9,-213.9,5.0,4.9,,,-97.4,,,7.66,-4.89,-27.3,7.66,-34.29,9.52,2.13,0.17,9.53,6.6,7.36,-13.15,-19.4,-36.75,25.25,-49.9,27.14,49.23,18.78,1.43,1.9,1610000.0,8.45,2.53,20.48,12138159.0,Aug 07/a,7.93,2/11/2011
68,69,ACSI,American Customer Satisfaction ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.83,4.61,3.03,15.4,4.82,16.48,,0.22,0.5,0.48,1.15,1.27,3.73,-1.02,5.83,-2.54,20.66,56.06,0.07,0.3,,1630.0,1.16,33.62,0.38,1858.0,-,,11/7/2016
69,70,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,,,,,,,,,,,-1.22,30.3,34.0,,,,,,,68630000.0,13.28,,4.02,,0.56,0.72,,,,,,,,,,,14.0,31.06,11.76,65.22,78.13,37.04,,0.08,11.75,6.92,20.63,27.12,22.46,-14.29,49.12,-36.67,163.1,69.35,2.7,1.83,2.0,533210.0,0.82,1.14,4.59,440809.0,Jun 26/b,2.52,2/7/2012
70,71,ACT,AdvisorShares Vice ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,3.4,-1.55,18.05,-1.54,17.22,,0.24,0.56,0.75,1.56,0.56,1.49,-3.3,5.4,-9.54,20.14,55.36,0.86,0.57,,3090.0,1.87,25.08,1.44,5742.0,-,,12/13/2017
71,72,ACTG,Acacia Research Corporation,Services,Business Services,USA,146700000.0,,,,2.02,0.79,0.87,,,,-1.56,-581.1,,-12.2,20.0,0.1,86.0,-94.5,49560000.0,49500000.0,0.6,7.08,60.9,-1.71,0.41,1.5,-33.9,-38.3,-13.7,6.2,6.2,0.0,0.0,79.7,-55.9,,3.5,-3.58,-9.2,3.14,-30.35,-0.67,0.69,0.09,3.58,2.63,-2.92,-4.49,-5.01,-8.64,4.59,-30.35,7.64,40.95,1.72,-0.68,,134120.0,1.69,2.96,1.02,223791.0,Aug 08/a,6.5,12/16/2002
72,73,ACTT,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,292500000.0,,,,,9750.0,,,,,,,,,,,,,30000000.0,,,,,,,0.0,,,,,,,,,,,0.52,,,,,0.52,,0.01,0.08,,0.4,0.4,0.4,0.0,0.72,0.0,0.72,,0.0,0.0,,195560.0,0.04,9.75,0.0,8000.0,-,,5/14/2019
73,74,ACTTU,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,,,,,,10120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.61,,,,0.2,,0.03,0.06,0.23,0.3,0.35,0.35,-0.2,1.2,-0.2,1.2,,0.0,0.1,,135070.0,0.02,10.12,0.1,2500.0,-,,4/26/2019
74,75,ACU,Acme United Corporation,Consumer Goods,Housewares & Accessories,USA,70680000.0,17.25,13.94,1.72,0.52,1.43,18.6,15.71,2.13,33.4,1.31,-8.7,10.05,1.3,10.0,8.9,14.0,-0.9,3130000.0,2940000.0,12.0,0.0,66.0,2.58,0.23,0.29,4.1,8.8,6.8,6.3,2.8,0.84,0.85,36.7,5.6,3.4,0.36,19.47,41.12,61.29,3.11,58.46,1.22,1.25,6.23,5.34,6.07,8.27,23.66,-1.27,29.55,-1.83,67.26,59.62,7.27,0.0,,23210.0,0.64,22.58,7.27,14873.0,Jul 19/b,23.75,9/7/1984
75,76,ACV,AllianzGI Diversified Income & Convertible Fund,Consumer Goods,Personal Products,USA,241050000.0,,,,,,,,8.57,,,,,-3.05,3.2,,,,10320000.0,,,,25.41,,,,,,,,,,,,,,-0.04,3.32,3.18,26.56,0.04,25.4,,0.32,1.2,1.41,2.72,0.4,4.29,-4.65,9.32,-7.74,33.35,55.09,0.0,0.3,3.0,35030.0,0.55,23.35,0.3,19395.0,-,36.93,5/21/2015
76,77,ACWF,iShares Edge MSCI Multifactor Global ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,5.21,0.75,12.95,-1.81,12.75,,0.23,0.5,0.49,2.18,1.8,2.33,-1.74,6.36,-6.01,17.68,59.44,0.39,0.29,,11310.0,0.42,29.28,0.69,5041.0,-,,5/4/2015
77,78,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,4.14,2.16,15.72,4.76,14.88,,0.62,0.49,0.73,1.53,1.3,4.41,-1.55,5.51,-1.59,20.9,56.55,0.14,0.29,,2490000.0,1.07,73.71,0.42,2653090.0,-,,3/28/2008
78,79,ACWV,iShares Edge MSCI Min Vol Global ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,3.07,2.95,14.08,11.8,13.36,,0.57,0.48,0.53,0.44,1.94,6.01,-0.96,4.54,-0.96,18.06,56.66,0.05,0.2,,306060.0,0.75,92.12,0.25,229060.0,-,,10/20/2011
79,80,ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3.59,1.06,12.19,0.52,11.44,,0.39,0.42,0.54,1.43,1.05,3.13,-2.32,4.82,-4.15,15.49,55.31,-0.19,0.3,,1090000.0,12.28,46.76,0.11,11382304.0,-,,4/1/2008
80,81,ACY,AeroCentury Corp.,Services,Rental & Leasing Services,USA,11270000.0,,5.55,,0.38,0.28,1.41,,,,-6.55,-500.4,624.0,-25.1,,-2.4,-477.8,-6.3,1550000.0,1220000.0,21.16,0.0,18.3,-1.73,0.03,0.06,,,-4.7,,,3.44,3.44,,,,0.2,-7.9,-36.76,-48.13,-54.16,-24.01,-0.09,0.38,3.37,3.08,-6.91,-24.09,-41.8,-38.93,1.57,-57.59,1.57,33.54,-0.38,-0.41,,6300.0,1.94,7.27,-0.78,11765.0,Jun 17/a,10.5,1/20/1998
81,82,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,417920000.0,,,,8.15,1.91,2.49,,,,-1.02,-23.0,5.3,-56.2,1.0,178.5,-18.8,,103960000.0,11250000.0,0.22,-4.09,73.3,0.11,34.9,12.67,-38.3,-45.0,-33.6,8.5,8.5,0.0,0.0,,,,9.84,18.24,-6.51,-17.11,-67.02,-30.09,1.62,0.24,5.93,6.96,9.31,2.01,-31.09,-21.18,25.62,-72.35,25.62,55.09,2.29,-1.5,2.1,309960.0,0.39,4.02,0.75,121726.0,Aug 05/b,7.42,5/6/2015
82,83,ADBE,Adobe Inc.,Technology,Application Software,USA,143080000000000.0,54.37,30.23,2.35,14.17,14.46,41.13,37.17,,0.0,5.42,65.0,24.78,58.1,23.1,17.4,-7.4,25.0,485600000.0,485600000.0,0.1,-43.75,89.2,0.23,0.74,1.38,14.5,27.9,20.9,0.7,0.7,0.1,0.42,85.6,28.5,26.2,-1.56,7.34,10.57,30.87,23.97,30.24,1.1,6.65,2.03,2.28,4.8,5.57,14.34,-3.08,14.44,-3.08,43.77,58.97,0.05,0.43,2.0,2600000.0,0.99,294.65,0.48,2648300.0,Jun 18/a,313.12,8/14/1986
83,84,ADC,Agree Realty Corporation,Financial,Property Management,USA,2460000000000.0,37.33,35.54,,15.52,1.87,110.12,,3.56,,1.72,-14.0,2.74,5.0,-0.9,27.8,-10.1,31.0,38340000.0,37280000.0,2.8,1.71,,2.32,12.48,14.94,,,3.7,,,0.6,0.6,88.7,,,-4.07,-3.42,-7.63,8.89,19.21,8.34,0.12,1.24,2.12,1.9,-3.79,-3.77,2.92,-7.16,1.26,-8.83,26.28,36.51,0.33,0.02,1.6,311350.0,3.37,64.05,0.34,1012798.0,Jul 22/a,73.63,4/15/1994
84,85,ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,231820000.0,5.89,2.53,0.12,5.88,2.18,11.2,,7.91,45.7,2.15,11.3,47.2,33.4,50.0,12.5,110.3,394.9,18340000.0,18010000.0,2.2,2.54,74.4,3.89,11.67,9.77,32.3,50.4,-12.2,1.4,1.0,0.42,0.64,21.8,-21.1,,0.72,6.31,9.34,27.81,13.98,19.81,1.14,0.3,2.41,2.15,0.31,1.67,10.93,-6.51,16.5,-6.51,40.29,58.66,1.94,-0.24,,215220.0,1.62,12.64,1.69,344990.0,Aug 05/a,18.0,2/13/2015
85,86,ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,41560000000000.0,26.89,20.43,2.88,6.66,3.55,58.24,31.06,1.91,46.8,4.2,99.0,5.74,13.9,9.34,18.7,-7.6,-2.4,368220000.0,365630000.0,0.1,-43.91,92.2,-0.33,1.34,1.72,7.4,13.8,10.2,1.5,1.1,0.48,0.51,68.0,31.1,25.2,-0.7,15.1,7.22,32.23,16.96,31.5,1.42,2.84,2.15,2.48,6.52,4.98,15.29,-4.78,18.18,-4.78,47.31,60.54,-0.43,0.46,2.2,2850000.0,2.18,112.87,0.03,6136774.0,May 22/b,113.79,7/19/1984
86,87,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,18190000.0,,,,,1.18,1.6,,,,-2.27,48.5,23.9,,,,-461.0,,10830000.0,6790000.0,3.4,,16.8,382.05,1.04,0.81,-251.1,-281.4,,36.6,36.6,0.0,0.0,,,,-13.85,-19.62,-51.02,-70.93,,-67.19,,0.16,7.44,8.85,-12.73,-25.27,-47.58,-46.32,-4.27,-82.2,51.97,31.25,-5.62,0.0,2.0,87090.0,0.78,1.68,-5.62,70103.0,Mar 27,5.5,7/27/2018
87,88,ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,23050000000000.0,14.04,10.99,,0.36,1.22,24.65,,3.43,46.4,2.91,47.4,14.53,9.1,-8.8,-6.5,-34.2,-1.4,565000000.0,558130000.0,0.4,4.13,79.2,-1.3,1.65,2.52,4.1,8.7,6.2,1.5,0.8,0.41,0.52,6.6,2.7,2.6,-0.68,6.08,-5.4,-0.39,-11.82,-0.41,1.03,0.6,1.15,1.35,1.3,-0.62,-7.39,-9.11,8.02,-21.64,8.02,49.51,0.32,0.25,2.0,3650000.0,1.29,40.8,0.57,4663249.0,Aug 01/b,51.0,4/5/1983
88,89,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,215400000.0,,,,13.05,17.59,13.05,,,,-1.34,23.9,44.4,9.4,,40.8,28.3,-12.5,55660000.0,46480000.0,7.9,-28.32,42.6,-8.24,9.65,3.11,-62.4,-205.4,,4.6,2.4,5.72,5.74,,,,5.16,-11.64,2.11,65.38,-14.76,61.92,2.7,0.23,5.46,6.41,1.44,-9.79,-13.07,-28.6,11.85,-44.4,86.06,48.41,2.93,0.53,1.7,1440000.0,1.14,3.87,3.48,1631964.0,Aug 07/a,11.94,10/17/2013
89,90,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Delivery,USA,61500000.0,,,,3.66,1.55,6.69,,,,-0.96,-75.4,42.0,2.1,,,17.7,53.1,47310000.0,44190000.0,4.2,-1.6,19.3,10.89,9.46,13.21,-73.0,-94.9,-79.3,1.5,1.2,0.0,0.06,32.4,,,1.56,-13.33,-38.39,-40.37,-59.38,-42.22,1.37,0.09,4.06,7.05,-5.42,-22.53,-47.51,-44.05,4.0,-74.51,4.0,35.79,0.0,0.78,2.3,316450.0,0.53,1.3,0.78,169418.0,Aug 08/a,5.3,8/14/1995
90,91,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,170210000.0,,,,3.94,2.66,0.89,,,,-4.61,-22.8,32.5,-29.0,32.2,-13.7,20.1,350.0,27450000.0,26780000.0,1.9,-2.52,96.1,-11.3,19.52,12.93,-50.7,-122.4,-55.0,7.0,6.9,1.87,1.9,97.6,,,12.73,34.49,-12.8,-26.63,-74.58,-27.4,1.66,0.32,6.17,6.66,23.59,12.67,-38.21,-5.63,47.62,-78.98,47.62,68.92,4.55,0.0,2.1,404370.0,1.73,6.2,4.55,691163.0,Aug 08/a,26.75,4/10/2014
91,92,ADNT,Adient plc,Consumer Goods,Auto Parts,Ireland,2270000000000.0,,7.78,,0.13,1.01,4.62,8.44,4.53,,-16.24,-269.3,95.49,-58.2,-8.34,-3.2,11.4,-8.0,93500000.0,93350000.0,0.2,0.0,,-2.76,9.17,3.6,-13.3,-54.1,-21.2,1.0,0.8,1.49,1.5,4.7,-5.1,-8.6,9.42,35.51,87.27,52.64,-50.92,61.16,,1.02,3.75,5.17,16.41,14.82,6.61,-6.73,48.26,-52.31,99.84,69.68,1.72,0.04,3.0,2380000.0,6.13,24.27,1.76,13446798.0,Aug 06/b,22.3,10/17/2016
92,93,ADOM,"ADOMANI, Inc.",Consumer Goods,Auto Parts,USA,21470000.0,,,,4.29,3.25,2.79,,,,-0.12,53.5,50.0,-44.5,,182.7,65.2,-20.0,73380000.0,55080000.0,13.0,0.43,2.5,13.0,1.63,0.95,-73.0,-104.3,-122.3,2.7,,0.0,0.39,3.6,,,-2.24,-11.01,-24.41,16.11,-73.16,7.57,,0.03,7.62,13.5,-6.16,-14.02,-25.37,-39.04,12.54,-75.41,88.77,44.32,-1.81,1.02,2.3,947650.0,0.32,0.29,-0.81,309501.0,Aug 02/a,1.58,6/15/2017
93,94,ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,71380000000000.0,36.76,27.23,2.17,5.1,13.67,38.93,56.37,1.91,63.3,4.5,-4.9,11.74,9.7,16.95,7.1,16.6,4.1,431750000.0,431750000.0,0.1,-32.32,82.0,0.24,0.79,2.29,4.7,39.7,24.4,1.0,1.0,0.38,0.0,49.3,18.6,13.8,-1.68,2.75,3.5,27.44,24.24,26.09,0.92,2.53,1.5,1.6,0.27,1.61,10.57,-3.0,6.86,-3.0,36.19,53.14,0.61,0.2,2.4,1500000.0,1.31,165.33,0.8,1947039.0,Jul 31/b,168.56,4/6/1983
94,95,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,4770000000000.0,,,,81.46,,10.84,,,,-4.12,,,,,,,30.4,98850000.0,15000000.0,,,,,,,,,,7.3,7.1,,,,,,,,,,,19.85,,6.47,,,,,,,,,,,14.73,4.47,,8320000.0,,48.3,19.85,5403835.0,Jul 09/b,,-
